track_id,album_id,album_title,album_url,artist_id,artist_name,artist_url,artist_website,license_image_file,license_image_file_large,license_parent_id,license_title,license_url,tags,track_bit_rate,track_comments,track_composer,track_copyright_c,track_copyright_p,track_date_created,track_date_recorded,track_disc_number,track_duration,track_explicit,track_explicit_notes,track_favorites,track_file,track_genres,track_image_file,track_information,track_instrumental,track_interest,track_language_code,track_listens,track_lyricist,track_number,track_publisher,track_title,track_url
11,108,Green Collection,http://freemusicarchive.org/music/Blah_Blah_Blah/Green_Collection/,84,Blah Blah Blah,http://freemusicarchive.org/music/Blah_Blah_Blah/,http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,http://i.creativecommons.org/l/by-nc-nd/2.0/uk/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-nd.png,6,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,http://creativecommons.org/licenses/by-nc-nd/2.0/uk/,[],256000,0,,,,11/26/2008 01:52:43 AM,9/01/2007,1,3:25,,,0,music/WFMU/Blah_Blah_Blah/Green_Collection/Blah_Blah_Blah_-_03_-_Out_on_the_farm.mp3,"[{'genre_id': '89', 'genre_title': 'Post-Punk', 'genre_url': 'http://freemusicarchive.org/genre/Post-Punk/'}]",https://freemusicarchive.org/file/images/albums/Blah_Blah_Blah_-_Green_Collection_-_2009113011951877.jpg,,0,289,en,190,,3,,Out on the farm,http://freemusicarchive.org/music/Blah_Blah_Blah/Green_Collection/Out_on_the_farm
12,116,Summer Set,http://freemusicarchive.org/music/Blanketship/Summer_Set/,86,Blanketship,http://freemusicarchive.org/music/Blanketship/,,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-Noncommercial-Share Alike 3.0 United States,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,[],256000,0,,,,11/26/2008 01:56:17 AM,1/01/2005,1,4:21,,,4,music/WFMU/Blanketship/Summer_Set/Blanketship_-_03_-_Lucky_45.mp3,"[{'genre_id': '15', 'genre_title': 'Electronic', 'genre_url': 'http://freemusicarchive.org/genre/Electronic/'}]",https://freemusicarchive.org/file/images/albums/Blanketship_-_Summer_Set_-_2009113011952105.jpg,,0,1788,en,843,,3,,Lucky 45,http://freemusicarchive.org/music/Blanketship/Summer_Set/Lucky_45
13,112,30th Anniversary Blah Blah Blah,http://freemusicarchive.org/music/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/,84,Blah Blah Blah,http://freemusicarchive.org/music/Blah_Blah_Blah/,http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,http://i.creativecommons.org/l/by-nc-nd/2.0/uk/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-nd.png,6,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,http://creativecommons.org/licenses/by-nc-nd/2.0/uk/,[],256000,0,,,,11/26/2008 01:53:59 AM,1/01/1981,1,3:24,,,0,music/WFMU/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/Blah_Blah_Blah_-_Breeder.mp3,"[{'genre_id': '89', 'genre_title': 'Post-Punk', 'genre_url': 'http://freemusicarchive.org/genre/Post-Punk/'}]",https://freemusicarchive.org/file/images/albums/Blah_Blah_Blah_-_30th_Anniversary_Blah_Blah_Blah_-_2009113011950686.jpg,,0,226,en,144,,0,Cherry Red Music (UK),Breeder,http://freemusicarchive.org/music/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/Breeder
14,126,Over In A Big Way,http://freemusicarchive.org/music/BronhardGoingPublic/Over_In_A_Big_Way/,92,Bronhard/Going/Public,http://freemusicarchive.org/music/BronhardGoingPublic/,http://www.ortolanpublishing.com,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,0,Walter Bronhard + Dylan Going + Dave Public,,,11/26/2008 02:00:32 AM,1/01/2007,1,1:27,,,1,music/WFMU/BronhardGoingPublic/Over_In_A_Big_Way/BronhardGoingPublic_-_07_-_Media_Library.mp3,"[{'genre_id': '4', 'genre_title': 'Jazz', 'genre_url': 'http://freemusicarchive.org/genre/Jazz/'}, {'genre_id': '15', 'genre_title': 'Electronic', 'genre_url': 'http://freemusicarchive.org/genre/Electronic/'}, {'genre_id': '38', 'genre_title': 'Experimental', 'genre_url': 'http://freemusicarchive.org/genre/Experimental/'}]",https://freemusicarchive.org/file/images/albums/BronhardGoingPublic_-_Over_In_A_Big_Way_-_2009113012036632.jpg,,0,1621,en,320,,7,,Media Library,http://freemusicarchive.org/music/BronhardGoingPublic/Over_In_A_Big_Way/Media_Library
15,125,Original Soundtrack: Work for 20 DVD Players,http://freemusicarchive.org/music/Brian_Joseph_Davis/Original_Soundtrack_Work_for_20_DVD_Players/,91,Brian Joseph Davis,http://freemusicarchive.org/music/Brian_Joseph_Davis/,brianjosephdavis.com,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,0,,,,11/26/2008 01:58:52 AM,10/01/2008,1,8:06,,,10,music/Blocks_Recording_Club/Brian_Joseph_Davis/Original_Soundtrack_Work_for_20_DVD_Players/Brian_Joseph_Davis_-_01_-_Track1.mp3,"[{'genre_id': '1', 'genre_title': 'Avant-Garde', 'genre_url': 'http://freemusicarchive.org/genre/Avant-Garde/'}, {'genre_id': '18', 'genre_title': 'Soundtrack', 'genre_url': 'http://freemusicarchive.org/genre/Soundtrack/'}]",https://freemusicarchive.org/file/images/albums/Brian_Joseph_Davis_-_Original_Soundtrack_Work_for_20_DVD_Players_-_2009113012031225.jpg,,0,7458,en,3890,,1,,Track1,http://freemusicarchive.org/music/Brian_Joseph_Davis/Original_Soundtrack_Work_for_20_DVD_Players/Track1
16,112,30th Anniversary Blah Blah Blah,http://freemusicarchive.org/music/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/,84,Blah Blah Blah,http://freemusicarchive.org/music/Blah_Blah_Blah/,http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,http://i.creativecommons.org/l/by-nc-nd/2.0/uk/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-nd.png,6,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,http://creativecommons.org/licenses/by-nc-nd/2.0/uk/,[],256000,0,,,,11/26/2008 01:55:04 AM,11/26/2008,2,2:32,,,0,music/WFMU/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/Blah_Blah_Blah_-_Sunspot_activity.mp3,"[{'genre_id': '89', 'genre_title': 'Post-Punk', 'genre_url': 'http://freemusicarchive.org/genre/Post-Punk/'}]",https://freemusicarchive.org/file/images/albums/Blah_Blah_Blah_-_30th_Anniversary_Blah_Blah_Blah_-_2009113011950686.jpg,,0,113,en,47,,0,,Sunspot activity,http://freemusicarchive.org/music/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/Sunspot_activity
17,112,30th Anniversary Blah Blah Blah,http://freemusicarchive.org/music/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/,84,Blah Blah Blah,http://freemusicarchive.org/music/Blah_Blah_Blah/,http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,http://i.creativecommons.org/l/by-nc-nd/2.0/uk/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-nd.png,6,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,http://creativecommons.org/licenses/by-nc-nd/2.0/uk/,[],256000,0,,,,11/26/2008 01:54:21 AM,1/01/1981,1,2:38,,,0,music/WFMU/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/Blah_Blah_Blah_-_Disco_Ghoul.mp3,"[{'genre_id': '89', 'genre_title': 'Post-Punk', 'genre_url': 'http://freemusicarchive.org/genre/Post-Punk/'}]",https://freemusicarchive.org/file/images/albums/Blah_Blah_Blah_-_30th_Anniversary_Blah_Blah_Blah_-_2009113011950686.jpg,,0,252,en,181,,0,Cherry Red Music (UK),Disco Ghoul,http://freemusicarchive.org/music/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/Disco_Ghoul
18,112,30th Anniversary Blah Blah Blah,http://freemusicarchive.org/music/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/,84,Blah Blah Blah,http://freemusicarchive.org/music/Blah_Blah_Blah/,http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,http://i.creativecommons.org/l/by-nc-nd/2.0/uk/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-nd.png,6,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,http://creativecommons.org/licenses/by-nc-nd/2.0/uk/,[],256000,0,,,,11/26/2008 01:54:57 AM,11/26/2008,2,3:38,,,0,music/WFMU/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/Blah_Blah_Blah_-_Red_coated_young_girlfriend.mp3,"[{'genre_id': '89', 'genre_title': 'Post-Punk', 'genre_url': 'http://freemusicarchive.org/genre/Post-Punk/'}]",https://freemusicarchive.org/file/images/albums/Blah_Blah_Blah_-_30th_Anniversary_Blah_Blah_Blah_-_2009113011950686.jpg,,0,140,en,65,,0,,Red coated young girlfriend,http://freemusicarchive.org/music/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/Red_coated_young_girlfriend
19,112,30th Anniversary Blah Blah Blah,http://freemusicarchive.org/music/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/,84,Blah Blah Blah,http://freemusicarchive.org/music/Blah_Blah_Blah/,http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,http://i.creativecommons.org/l/by-nc-nd/2.0/uk/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-nd.png,6,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,http://creativecommons.org/licenses/by-nc-nd/2.0/uk/,[],256000,0,,,,11/26/2008 01:54:16 AM,1/01/1981,1,1:55,,,0,music/WFMU/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/Blah_Blah_Blah_-_Denver.mp3,"[{'genre_id': '89', 'genre_title': 'Post-Punk', 'genre_url': 'http://freemusicarchive.org/genre/Post-Punk/'}]",https://freemusicarchive.org/file/images/albums/Blah_Blah_Blah_-_30th_Anniversary_Blah_Blah_Blah_-_2009113011950686.jpg,,0,190,en,111,,0,Cherry Red Music (UK),Denver,http://freemusicarchive.org/music/Blah_Blah_Blah/30th_Anniversary_Blah_Blah_Blah/Denver
20,134,Birdlike Movements,http://freemusicarchive.org/music/Celesteville/Birdlike_Movements/,98,Celesteville,http://freemusicarchive.org/music/Celesteville/,http://www.tapemountain.com,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],160000,0,,,,11/26/2008 02:02:10 AM,,1,1:55,,,0,music/WFMU/Celesteville/Birdlike_Movements/Celesteville_-_04_-_Magnolias_Milan.mp3,"[{'genre_id': '27', 'genre_title': 'Lo-Fi', 'genre_url': 'http://freemusicarchive.org/genre/Lo-fi/'}, {'genre_id': '66', 'genre_title': 'Indie-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Indie-Rock/'}]",https://freemusicarchive.org/file/images/artists/Celesteville_-_2009113014603257.jpg,,0,351,en,83,,4,,Magnolias Milan,http://freemusicarchive.org/music/Celesteville/Birdlike_Movements/Magnolias_Milan
21,101,Wooden Lake Sexual Diner,http://freemusicarchive.org/music/Bird_Names/Wooden_Lake_Sexual_Diner/,80,Bird Names,http://freemusicarchive.org/music/Bird_Names/,http://northern-spy.com/artists/bird-names/,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-Noncommercial-Share Alike 3.0 United States,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,[],256000,0,,,,11/26/2008 01:50:28 AM,8/26/2006,1,1:54,,,5,music/WFMU/Bird_Names/Wooden_Lake_Sexual_Diner/Bird_Names_-_09_-_Nobody_Loves_Me.mp3,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}, {'genre_id': '76', 'genre_title': 'Experimental Pop', 'genre_url': 'http://freemusicarchive.org/genre/Experimental_Pop/'}]",https://freemusicarchive.org/file/images/albums/Bird_Names_-_Wooden_Lake_Sexual_Diner_-_2009113011942440.jpg,,0,1122,en,855,,9,,Nobody Loves Me,http://freemusicarchive.org/music/Bird_Names/Wooden_Lake_Sexual_Diner/Nobody_Loves_Me
22,84,Blue Piano,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/,127,Ed Askew,http://freemusicarchive.org/music/Ed_Askew/,http://www.facebook.com/ecaskew?v=feed ,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,0,,,,11/26/2008 01:47:53 AM,,1,5:28,,,0,music/WFMU/Ed_Askew/Blue_Piano/Ed_Askew_-_12_-_Safe_Harbor.mp3,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",https://freemusicarchive.org/file/images/albums/Ed_Askew_-_Blue_Piano_-_2009113012359847.jpg,,0,1276,en,351,,12,,Safe Harbor,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/Safe_Harbor_1
23,102,Black Elk,http://freemusicarchive.org/music/Black_Elk/Black_Elk/,81,Black Elk,http://freemusicarchive.org/music/Black_Elk/,http://www.blackelk.net/,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],320000,0,,,,11/26/2008 01:50:42 AM,11/07/2006,1,2:26,,,3,music/WFMU/Black_Elk/Black_Elk/Black_Elk_-_02_-_My_Lil.mp3,"[{'genre_id': '31', 'genre_title': 'Metal', 'genre_url': 'http://freemusicarchive.org/genre/Metal/'}]",https://freemusicarchive.org/file/images/albums/Black_Elk_-_Black_Elk_-_2009113011943594.jpg,,0,2177,en,766,,2,,My Lil',http://freemusicarchive.org/music/Black_Elk/Black_Elk/My_Lil
